step,T,C,coolant_flow,feed_rate
250,3442272.605010304,0.036461974948481954,0.2,0.8
251,3455237.607744552,0.03646196127724033,0.2,0.8
252,3468202.610458348,0.03646194770826301,0.2,0.8
253,3481167.613151919,0.036461934240406835,0.2,0.8
254,3494132.6158254915,0.036461920872545614,0.2,0.8
255,3507097.618479287,0.0364619076035698,0.2,0.8
256,3520062.6211135234,0.03646189443238623,0.2,0.8
257,3533027.623728417,0.03646188135791778,0.2,0.8
258,3545992.6263241796,0.0364618683791031,0.2,0.8
259,3558957.628901021,0.03646185549489628,0.2,0.8
260,3571922.6314591467,0.03646184270426663,0.2,0.8
261,3584887.6339987605,0.03646183000619839,0.2,0.8
262,3597852.636520062,0.03646181739969041,0.2,0.8
263,3610817.639023249,0.03646180488375596,0.2,0.8
264,3623782.6415085155,0.03646179245742242,0.2,0.8
265,3636747.6439760537,0.036461780119731044,0.2,0.8
266,3649712.646426053,0.036461767869736726,0.2,0.8
267,3662677.6488586986,0.036461755706507754,0.2,0.8
268,3675642.6512741754,0.03646174362912554,0.2,0.8
269,3688607.653672664,0.03646173163668445,0.2,0.8
270,3701572.6560543426,0.03646171972829153,0.2,0.8
271,3714537.658419388,0.03646170790306628,0.2,0.8
272,3727502.660767973,0.036461696160140486,0.2,0.8
273,3740467.6631002696,0.03646168449865796,0.2,0.8
274,3753432.6654164465,0.03646167291777437,0.2,0.8
275,3766397.66771667,0.03646166141665698,0.2,0.8
276,3779362.6700011045,0.03646164999448451,0.2,0.8
277,3792327.672269912,0.03646163865044691,0.2,0.8
278,3805292.674523252,0.036461627383745185,0.2,0.8
279,3818257.676761283,0.03646161619359118,0.2,0.8
280,3831222.67898416,0.03646160507920742,0.2,0.8
281,3844187.6811920363,0.03646159403982692,0.2,0.8
282,3857152.6833850634,0.036461583074693035,0.2,0.8
283,3870117.68556339,0.03646157218305923,0.2,0.8
284,3883082.6877271645,0.03646156136418895,0.2,0.8
285,3896047.6898765313,0.03646155061735548,0.2,0.8
286,3909012.692011634,0.03646153994184172,0.2,0.8
287,3921977.6941326144,0.036461529336940066,0.2,0.8
288,3934942.6962396116,0.03646151880195223,0.2,0.8
289,3947907.698332764,0.036461508336189136,0.2,0.8
290,3960872.7004122077,0.036461497938970695,0.2,0.8
291,3973837.702478077,0.036461487609625726,0.2,0.8
292,3986802.7045305036,0.03646147734749176,0.2,0.8
293,3999767.706569619,0.036461467151914936,0.2,0.8
294,4012732.708595552,0.03646145702224983,0.2,0.8
295,4025697.71060843,0.03646144695785938,0.2,0.8
296,4038662.7126083793,0.03646143695811465,0.2,0.8
297,4051627.7145955237,0.03646142702239479,0.2,0.8
298,4064592.7165699853,0.03646141715008688,0.2,0.8
299,4077557.7185318857,0.03646140734058578,0.2,0.8
300,4090522.720481344,0.03646139759329403,0.2,0.8
301,4103487.722418478,0.036461387907621726,0.2,0.8
302,4116452.7243434056,0.036461378282986415,0.2,0.8
303,4129417.72625624,0.036461368718812934,0.2,0.8
304,4142382.728157096,0.036461359214533334,0.2,0.8
305,4155347.7300460855,0.03646134976958677,0.2,0.8
306,4168312.7319233194,0.03646134038341936,0.2,0.8
307,4181277.7337889066,0.0364613310554841,0.2,0.8
308,4194242.7356429556,0.03646132178524077,0.2,0.8
309,4207207.737485572,0.036461312572155784,0.2,0.8
310,4220172.739316863,0.036461303415702126,0.2,0.8
311,4233137.741136931,0.036461294315359244,0.2,0.8
312,4246102.742945881,0.036461285270612945,0.2,0.8
313,4259067.744743812,0.03646127628095529,0.2,0.8
314,4272032.746530826,0.03646126734588453,0.2,0.8
315,4284997.748307022,0.03646125846490496,0.2,0.8
316,4297962.750072498,0.036461249637526894,0.2,0.8
317,4310927.75182735,0.03646124086326652,0.2,0.8
318,4323892.753571673,0.036461232141645816,0.2,0.8
319,4336857.755305564,0.03646122347219251,0.2,0.8
320,4349822.757029115,0.036461214854439934,0.2,0.8
321,4362787.758742418,0.036461206287927,0.2,0.8
322,4375752.760445564,0.03646119777219806,0.2,0.8
323,4388717.762138643,0.03646118930680287,0.2,0.8
324,4401682.763821744,0.03646118089129647,0.2,0.8
325,4414647.765494956,0.03646117252523916,0.2,0.8
326,4427612.767158364,0.03646116420819637,0.2,0.8
327,4440577.768812056,0.036461155939738615,0.2,0.8
328,4453542.770456116,0.03646114771944141,0.2,0.8
329,4466507.772090627,0.0364611395468852,0.2,0.8
330,4479472.773715673,0.036461131421655295,0.2,0.8
331,4492437.775331336,0.0364611233433418,0.2,0.8
332,4505402.776937697,0.036461115311539505,0.2,0.8
333,4518367.778534835,0.03646110732584791,0.2,0.8
334,4531332.7801228305,0.036461099385871054,0.2,0.8
335,4544297.781701761,0.0364610914912175,0.2,0.8
336,4557262.783271705,0.03646108364150029,0.2,0.8
337,4570227.784832737,0.03646107583633684,0.2,0.8
338,4583192.7863849355,0.03646106807534891,0.2,0.8
339,4596157.787928373,0.036461060358162524,0.2,0.8
340,4609122.789463124,0.03646105268440791,0.2,0.8
341,4622087.790989262,0.03646104505371946,0.2,0.8
342,4635052.792506859,0.03646103746573563,0.2,0.8
343,4648017.794015986,0.03646102992009895,0.2,0.8
344,4660982.795516714,0.036461022416455886,0.2,0.8
345,4673947.797009114,0.036461014954456875,0.2,0.8
346,4686912.798493255,0.03646100753375619,0.2,0.8
347,4699877.799969204,0.03646100015401193,0.2,0.8
348,4712842.801437029,0.036460992814885955,0.2,0.8
349,4725807.802896797,0.03646098551604384,0.2,0.8
350,4738772.804348574,0.03646097825715483,0.2,0.8
351,4751737.805792427,0.036460971037891754,0.2,0.8
352,4764702.807228419,0.036460963857931045,0.2,0.8
353,4777667.808656615,0.0364609567169526,0.2,0.8
354,4790632.810077078,0.036460949614639825,0.2,0.8
355,4803597.81148987,0.036460942550679526,0.2,0.8
356,4816562.812895053,0.03646093552476187,0.2,0.8
357,4829527.81429269,0.036460928536580395,0.2,0.8
358,4842492.81568284,0.036460921585831876,0.2,0.8
359,4855457.817065562,0.03646091467221635,0.2,0.8
360,4868422.818440918,0.036460907795437036,0.2,0.8
361,4881387.819808966,0.036460900955200326,0.2,0.8
362,4894352.821169763,0.03646089415121573,0.2,0.8
363,4907317.822523367,0.036460887383195785,0.2,0.8
364,4920282.823869835,0.036460880650856106,0.2,0.8
365,4933247.825209223,0.036460873953915285,0.2,0.8
366,4946212.826541587,0.036460867292094856,0.2,0.8
367,4959177.827866982,0.03646086066511928,0.2,0.8
368,4972142.829185463,0.03646085407271586,0.2,0.8
369,4985107.830497083,0.036460847514614786,0.2,0.8
370,4998072.831801896,0.036460840990549026,0.2,0.8
371,5011037.833099956,0.036460834500254294,0.2,0.8
372,5024002.834391313,0.03646082804346905,0.2,0.8
373,5036967.83567602,0.036460821619934455,0.2,0.8
374,5049932.836954128,0.03646081522939433,0.2,0.8
375,5062897.838225688,0.0364608088715951,0.2,0.8
376,5075862.83949075,0.03646080254628579,0.2,0.8
377,5088827.840749364,0.03646079625321799,0.2,0.8
378,5101792.842001579,0.03646078999214583,0.2,0.8
379,5114757.8432474425,0.036460783762825896,0.2,0.8
380,5127722.844487004,0.036460777565017276,0.2,0.8
381,5140687.845720311,0.03646077139848146,0.2,0.8
382,5153652.84694741,0.03646076526298235,0.2,0.8
383,5166617.84816835,0.03646075915828623,0.2,0.8
384,5179582.849383174,0.03646075308416169,0.2,0.8
385,5192547.8505919315,0.036460747040379674,0.2,0.8
386,5205512.851794665,0.036460741026713386,0.2,0.8
387,5218477.85299142,0.036460735042938286,0.2,0.8
388,5231442.8541822415,0.03646072908883208,0.2,0.8
389,5244407.855367173,0.03646072316417463,0.2,0.8
390,5257372.856546259,0.036460717268748014,0.2,0.8
391,5270337.857719541,0.036460711402336435,0.2,0.8
392,5283302.858887062,0.0364607055647262,0.2,0.8
393,5296267.860048866,0.03646069975570576,0.2,0.8
394,5309232.861204994,0.03646069397506557,0.2,0.8
395,5322197.862355487,0.03646068822259817,0.2,0.8
